"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 6월","79.44","77.71","79.70","72.45","5.97M","2.38%"
"2018년 5월","77.59","74.65","80.50","72.38","6.37M","3.22%"
"2018년 4월","75.17","69.32","75.47","66.69","6.23M","6.97%"
"2018년 3월","70.27","64.57","71.05","63.19","5.34M","6.83%"
"2018년 2월","65.78","69.00","70.02","61.76","5.66M","-4.74%"
"2018년 1월","69.05","66.55","71.28","66.24","5.48M","3.26%"
"2017년 12월","66.87","62.74","67.10","61.13","4.86M","5.19%"
"2017년 11월","63.57","61.07","64.65","60.00","6.25M","3.58%"
"2017년 10월","61.37","56.73","61.41","55.06","6.55M","6.66%"
"2017년 9월","57.54","52.84","59.49","51.99","5.05M","9.85%"
"2017년 8월","52.38","52.70","53.64","50.00","6.33M","-0.51%"
"2017년 7월","52.65","48.95","52.92","46.11","5.44M","9.87%"
"2017년 6월","47.92","51.17","51.45","44.35","6.85M","-4.75%"
"2017년 5월","50.31","51.88","54.67","46.64","7.34M","-2.75%"
"2017년 4월","51.73","53.62","56.65","50.45","5.47M","-2.08%"
"2017년 3월","52.83","56.45","57.05","49.71","6.24M","-4.96%"
"2017년 2월","55.59","55.55","57.45","54.44","5.08M","-0.20%"
"2017년 1월","55.70","57.05","58.37","53.58","5.55M","-1.97%"
"2016년 12월","56.82","51.72","57.89","51.51","5.16M","12.58%"
"2016년 11월","50.47","48.72","50.49","43.57","6.24M","4.49%"
"2016년 10월","48.30","50.02","53.73","47.98","5.41M","-1.55%"
"2016년 9월","49.06","46.98","50.14","45.09","5.44M","4.29%"
"2016년 8월","47.04","43.11","51.22","41.51","5.62M","10.79%"
"2016년 7월","42.46","49.90","50.75","41.80","4.89M","-14.53%"
"2016년 6월","49.68","49.65","52.86","46.69","5.06M","-0.02%"
"2016년 5월","49.69","47.37","50.51","43.33","5.50M","3.24%"
"2016년 4월","48.13","40.14","48.50","37.27","5.67M","21.54%"
"2016년 3월","39.60","36.60","42.54","35.95","5.29M","10.09%"
"2016년 2월","35.97","35.85","37.00","29.92","6.11M","3.54%"
"2016년 1월","34.74","37.85","38.99","27.10","5.13M","-6.81%"
"2015년 12월","37.28","44.62","45.18","35.98","4.34M","-16.43%"
"2015년 11월","44.61","49.50","50.91","43.15","4.64M","-9.99%"
"2015년 10월","49.56","48.40","54.05","46.41","4.60M","2.46%"
"2015년 9월","48.37","52.92","53.47","45.98","4.49M","-10.67%"
"2015년 8월","54.15","51.55","54.32","42.23","5.04M","3.72%"
"2015년 7월","52.21","63.02","63.35","51.63","4.72M","-17.90%"
"2015년 6월","63.59","65.59","66.36","60.94","4.82M","-3.00%"
"2015년 5월","65.56","66.78","69.63","61.24","4.28M","-1.83%"
"2015년 4월","66.78","55.18","66.93","54.00","4.36M","21.18%"
"2015년 3월","55.11","62.50","62.50","52.50","4.58M","-11.94%"
"2015년 2월","62.58","52.68","63.00","51.41","5.13M","18.10%"
"2015년 1월","52.99","58.02","58.54","45.19","5.06M","-7.57%"
"2014년 12월","57.33","70.15","73.03","55.81","4.14M","-18.28%"
"2014년 11월","70.15","85.85","86.40","69.78","4.42M","-18.30%"
"2014년 10월","85.86","94.77","96.23","82.60","4.87M","-9.31%"
"2014년 9월","94.67","102.95","103.30","94.24","3.92M","-8.26%"
"2014년 8월","103.19","105.60","106.85","101.07","3.40M","-2.67%"
"2014년 7월","106.02","112.50","112.83","104.39","4.16M","-5.64%"
"2014년 6월","112.36","109.70","115.71","107.77","3.92M","2.70%"
"2014년 5월","109.41","108.08","111.04","106.85","3.57M","1.24%"
"2014년 4월","108.07","107.66","110.65","103.95","3.72M","0.29%"
"2014년 3월","107.76","109.44","112.39","105.41","3.53M","-1.20%"
"2014년 2월","109.07","106.40","110.82","105.40","3.28M","2.51%"
"2014년 1월","106.40","111.00","111.35","105.44","3.92M","-3.97%"
"2013년 12월","110.80","109.60","113.02","107.80","3.10M","1.01%"
"2013년 11월","109.69","109.05","111.66","102.98","4.18M","0.78%"
"2013년 10월","108.84","108.38","112.00","106.27","4.40M","0.43%"
"2013년 9월","108.37","114.00","116.56","107.22","3.54M","-4.95%"
"2013년 8월","114.01","107.81","117.34","105.85","4.05M","5.86%"
"2013년 7월","107.70","101.90","109.72","101.63","4.01M","5.42%"
"2013년 6월","102.16","100.15","106.67","99.66","3.89M","1.76%"
"2013년 5월","100.39","101.82","105.94","98.76","4.31M","-1.93%"
"2013년 4월","102.37","110.15","111.79","96.75","4.68M","-6.95%"
"2013년 3월","110.02","110.90","112.23","106.80","3.71M","-1.22%"
"2013년 2월","111.38","115.77","119.17","110.87","3.74M","-3.61%"
"2013년 1월","115.55","111.50","115.76","109.45","3.83M","4.00%"
"2012년 12월","111.11","110.96","112.33","106.63","2.73M","-0.11%"
"2012년 11월","111.23","108.49","112.20","104.76","3.99M","2.33%"
"2012년 10월","108.70","112.34","116.20","106.80","4.26M","-3.28%"
"2012년 9월","112.39","114.70","117.95","107.10","3.76M","-1.90%"
"2012년 8월","114.57","104.40","117.03","104.06","3.87M","9.20%"
"2012년 7월","104.92","97.60","108.18","95.30","4.21M","7.28%"
"2012년 6월","97.80","101.69","102.45","88.49","4.84M","-4.00%"
"2012년 5월","101.87","119.28","120.02","101.27","4.54M","-14.73%"
"2012년 4월","119.47","122.94","125.97","116.70","3.80M","-2.78%"
"2012년 3월","122.88","123.00","128.40","120.97","3.79M","0.18%"
"2012년 2월","122.66","111.30","125.55","111.02","3.83M","10.52%"
"2012년 1월","110.98","108.35","115.12","108.35","3.76M","3.35%"
"2011년 12월","107.38","110.75","111.62","102.37","2.68M","-2.84%"
"2011년 11월","110.52","109.09","116.48","105.65","4.26M","0.88%"
