일차,출발시간,소요시간,날짜
3,12,88,2018-02-17
4,12,81,2018-02-18
0,13,103,2018-02-14
1,13,187,2018-02-15
2,13,109,2018-02-16
3,13,89,2018-02-17
4,13,87,2018-02-18
0,14,118,2018-02-14
1,14,191,2018-02-15
2,14,129,2018-02-16
3,14,92,2018-02-17
4,14,91,2018-02-18
0,15,119,2018-02-14
1,15,181,2018-02-15
2,15,134,2018-02-16
3,15,93,2018-02-17
4,15,89,2018-02-18
0,16,131,2018-02-14
1,16,169,2018-02-15
2,16,147,2018-02-16
3,16,95,2018-02-17
4,16,88,2018-02-18
0,17,145,2018-02-14
1,17,160,2018-02-15
2,17,155,2018-02-16
3,17,96,2018-02-17
4,17,88,2018-02-18
0,18,158,2018-02-14
1,18,148,2018-02-15
2,18,154,2018-02-16
3,18,92,2018-02-17
4,18,90,2018-02-18
0,19,170,2018-02-14
1,19,133,2018-02-15
2,19,148,2018-02-16
3,19,91,2018-02-17
4,19,90,2018-02-18
0,20,160,2018-02-14
1,20,120,2018-02-15
2,20,133,2018-02-16
3,20,88,2018-02-17
4,20,91,2018-02-18
0,21,177,2018-02-14
1,21,112,2018-02-15
2,21,119,2018-02-16
3,21,85,2018-02-17
4,21,90,2018-02-18
0,22,176,2018-02-14
1,22,104,2018-02-15
2,22,111,2018-02-16
3,22,88,2018-02-17
4,22,88,2018-02-18
0,23,168,2018-02-14
1,23,99,2018-02-15
2,23,102,2018-02-16
3,23,84,2018-02-17
4,23,87,2018-02-18
0,0,84,2019-02-02
1,0,88,2019-02-03
2,0,95,2019-02-05
3,0,80,2019-02-06
4,0,81,2019-02-07
0,1,84,2019-02-02
1,1,87,2019-02-03
2,1,91,2019-02-05
3,1,79,2019-02-06
4,1,80,2019-02-07
0,2,84,2019-02-02
1,2,87,2019-02-03
2,2,83,2019-02-05
3,2,81,2019-02-06
4,2,83,2019-02-07
0,3,82,2019-02-02
1,3,86,2019-02-03
2,3,79,2019-02-05
3,3,78,2019-02-06
4,3,84,2019-02-07
0,4,87,2019-02-02
1,4,93,2019-02-03
2,4,79,2019-02-05
3,4,96,2019-02-06
4,4,85,2019-02-07
0,5,97,2019-02-02
1,5,89,2019-02-03
2,5,79,2019-02-05
3,5,73,2019-02-06
4,5,87,2019-02-07
0,6,93,2019-02-02
1,6,92,2019-02-03
2,6,85,2019-02-05
3,6,78,2019-02-06
4,6,77,2019-02-07
0,7,97,2019-02-02
1,7,104,2019-02-03
2,7,90,2019-02-05
3,7,78,2019-02-06
4,7,88,2019-02-07
0,8,102,2019-02-02
1,8,102,2019-02-03
2,8,90,2019-02-05
3,8,77,2019-02-06
4,8,89,2019-02-07
0,9,104,2019-02-02
