년도,분기,행정동,운영평균,폐업평균,서울운영평균,서울시폐업평균
2019,3,사당2동,105,53,109,53
2019,3,사당2동,106,52,106,52
2019,3,사당1동,102,51,109,53
2019,3,흑석동,109,59,109,53
2019,3,흑석동,110,59,106,52
2019,3,상도4동,109,54,109,53
2019,3,상도4동,110,53,106,52
2019,3,상도3동,105,53,109,53
2019,3,상도3동,106,52,106,52
2019,3,상도2동,119,56,109,53
2019,3,상도1동,99,56,109,53
2019,3,노량진2동,129,60,109,53
2019,3,노량진1동,134,73,109,53
2019,3,대림3동,106,47,109,53
2019,3,대림2동,98,46,109,53
2019,3,대림1동,121,50,109,53
2019,3,신길7동,111,53,109,53
2019,3,신길7동,110,52,106,52
2019,3,신길6동,115,53,109,53
2019,3,신길6동,111,53,106,52
2019,3,신길5동,114,55,109,53
2019,3,신길4동,113,56,109,53
2019,3,신길3동,131,58,109,53
2019,3,신길1동,128,55,109,53
2019,3,양평2동,108,53,109,53
2019,3,양평1동,112,53,109,53
2019,3,문래동,94,51,106,52
2019,3,문래동,104,55,109,53
2019,3,도림동,110,53,109,53
2019,3,당산2동,101,52,109,53
2019,3,당산1동,116,52,109,53
2019,3,여의동,121,53,109,53
2019,3,여의동,118,52,106,52
2019,3,영등포동,123,58,109,53
2019,3,영등포본동,105,55,109,53
2019,3,시흥5동,114,53,109,53
2019,3,시흥5동,115,53,106,52
2019,3,시흥4동,112,48,109,53
2019,3,시흥3동,138,57,109,53
2019,3,시흥2동,96,52,109,53
2019,3,시흥1동,111,54,109,53
2019,3,독산4동,110,52,109,53
2019,3,독산3동,119,49,109,53
2019,3,독산2동,109,52,109,53
2019,3,독산2동,108,52,106,52
2019,3,독산1동,101,55,109,53
2019,3,가산동,89,48,109,53
2019,3,수궁동,108,55,109,53
2019,3,수궁동,108,54,106,52
2019,3,오류2동,91,52,109,53
2019,3,오류1동,114,55,109,53
2019,3,개봉3동,123,51,109,53
2019,3,개봉2동,110,56,109,53
2019,3,개봉1동,112,53,109,53
2019,3,고척2동,111,54,109,53
2019,3,고척1동,110,52,109,53
2019,3,고척1동,106,52,106,52
2019,3,가리봉동,119,53,109,53
2019,3,구로5동,101,50,109,53
2019,3,구로4동,110,49,109,53
2019,3,구로3동,89,48,109,53
2019,3,구로2동,128,53,109,53
2019,3,구로1동,127,55,109,53
2019,3,신도림동,95,49,109,53
2019,3,방화3동,112,52,109,53
2019,3,방화2동,104,52,109,53
2019,3,방화1동,98,50,109,53
2019,3,공항동,103,50,109,53
2019,3,우장산동,92,49,109,53
2019,3,발산1동,82,51,106,52
2019,3,발산1동,99,56,109,53
2019,3,가양3동,97,51,106,52
2019,3,가양3동,106,53,109,53
2019,3,가양2동,103,49,109,53
2019,3,가양1동,49,46,109,53
2019,3,화곡8동,99,49,109,53
2019,3,화곡6동,98,46,109,53
2019,3,화곡본동,110,51,109,53
2019,3,화곡4동,104,49,109,53
2019,3,화곡3동,93,49,109,53
2019,3,화곡2동,106,49,109,53
2019,3,화곡2동,106,47,106,52
2019,3,화곡1동,103,49,109,53
2019,3,등촌3동,92,49,109,53
2019,3,등촌2동,107,48,109,53
2019,3,등촌2동,107,47,106,52
2019,3,등촌1동,94,53,109,53
2019,3,염창동,108,54,109,53
2019,3,신정7동,101,50,109,53
2019,3,신정6동,93,49,109,53
2019,3,신정4동,104,48,109,53
2019,3,신정3동,106,53,109,53
2019,3,신정2동,102,50,109,53
2019,3,신정1동,112,50,109,53
2019,3,신월7동,103,48,109,53
2019,3,신월6동,132,63,109,53
2019,3,신월5동,105,53,109,53
2019,3,신월4동,103,51,109,53
2019,3,신월3동,120,51,109,53
