"년도" "자치구명" "동" "사업체수" "총종사자수" "총여성종사자수" "농업.임업.및.어업" "농업.임업.및.어업(여성)" "광업" "광업(여성)" "제조업" "제조업(여성)" "전기.가스.증기.및.공기조절.공급업" "전기.가스.증기.및.공기조절.공급업(여성)" "수도.하수.및.폐기물.처리.원료.재생업" "수도.하수.및.폐기물.처리.원료.재생업(여성)" "건설업" "건설업(여성)" "도매.및.소매업" "도매.및.소매업(여성)" "운수.및.창고업" "운수.및.창고업(여성)" "숙박.및.음식점업" "숙박.및.음식점업(여성)" "정보통신업" "정보통신업(여성)" "금융.및.보험업" "금융.및.보험업(여성)" "부동산업" "부동산업(여성)" "전문.과학.및.기술.서비스업" "전문.과학.및.기술.서비스업(여성)" "사업시설.관리.사업.지원.및.임대.서비스업" "사업시설.관리.사업.지원.및.임대.서비스업(여성)" "공공행정.국방.및.사회보장.행정" "공공행정.국방.및.사회보장.행정(여성)" "교육.서비스업" "교육.서비스업(여성)" "보건업.및.사회복지.서비스업" "보건업.및.사회복지.서비스업(여성)" "예술.스포츠.및.여가관련.서비스업" "예술.스포츠.및.여가관련.서비스업(여성)" "협회.및.단체.수리.및.기타.개인.서비스업" "협회.및.단체.수리.및.기타.개인.서비스업(여성)"
"78" "2015" "관악구" "미성동" 1585 6428 3088 0 0 1 0 911 533 0 0 0 0 304 55 962 429 522 18 516 333 25 11 64 32 200 70 141 35 856 376 78 12 742 469 500 397 144 66 462 252
"79" "2015" "관악구" "보라매동" 1421 7131 3808 0 0 0 0 227 111 0 0 0 0 404 70 1155 652 284 9 751 492 521 86 116 46 217 74 613 361 579 201 16 8 1198 1022 539 467 66 28 445 181
"80" "2015" "관악구" "삼성동" 1051 2390 1186 0 0 0 0 79 37 0 0 0 0 42 6 520 252 329 16 185 129 11 6 30 20 107 29 14 2 53 18 20 13 462 277 212 182 17 8 309 191
"81" "2015" "관악구" "서림동" 904 2663 1104 0 0 0 0 89 48 0 0 0 0 77 8 456 187 496 13 502 296 35 15 11 6 115 32 17 7 49 17 68 14 319 212 170 150 93 32 166 67
"82" "2015" "관악구" "서원동" 1302 7677 4071 0 0 0 0 68 28 0 0 44 2 245 53 1192 652 154 6 1817 968 109 54 244 172 294 108 125 60 1372 638 70 12 213 152 1016 732 205 109 509 325
"83" "2015" "관악구" "성현동" 835 2692 1449 0 0 0 0 163 113 0 0 0 0 120 25 249 129 215 6 154 79 15 7 14 8 132 47 141 30 118 2 20 8 759 598 337 293 70 23 185 81
"84" "2015" "관악구" "신림동" 1634 5899 3018 0 0 0 0 177 95 0 0 3 1 347 34 1091 563 66 4 2030 1132 278 83 83 38 256 85 80 35 93 53 54 13 83 53 450 365 247 117 561 347
"85" "2015" "관악구" "신사동" 1428 4470 2245 0 0 0 0 525 299 0 0 0 0 290 48 960 448 264 25 578 334 23 5 124 61 159 56 115 39 228 123 42 11 369 298 366 303 100 35 327 160
"86" "2015" "관악구" "신원동" 829 2430 1360 0 0 0 0 164 87 0 0 0 0 106 15 443 207 95 4 336 203 19 4 20 9 61 21 86 56 107 35 154 74 252 189 202 169 34 11 351 276
"87" "2015" "관악구" "은천동" 1643 7623 3574 0 0 0 0 532 298 0 0 36 5 1013 58 1064 426 594 19 673 446 104 31 164 135 182 60 151 48 329 123 153 18 571 414 1283 1061 88 37 686 395
